variable,share_1936_1955,share_1956_1978,drought_anymonth_2021_pct,drought_december_2021_pct
share_1936_1955,1,0.6451122289221621,-0.16498452403875694,-0.03718893831632919
share_1956_1978,0.6451122289221621,1,-0.14215113029278395,-0.03055370944048506
drought_anymonth_2021_pct,-0.16498452403875694,-0.14215113029278395,1,0.3883678770590598
drought_december_2021_pct,-0.03718893831632919,-0.03055370944048506,0.3883678770590598,1
