variable_original,variable_key,threshold_original,threshold_key,measure_original,measure_key,climate_year,n_rows
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1970,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1971,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1972,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1973,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1974,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1975,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1976,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1977,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1978,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1979,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1980,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1981,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1982,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1983,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1984,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1985,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1986,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1987,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1988,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1989,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1990,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1991,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1992,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1993,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1994,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1995,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1996,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1997,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1998,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,1999,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,2000,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,2001,525
SPEI1,SPEI1,15sd,15SD,population_affected,POPULATIONAFFECTED,2002,525
