model,version,term,estimate,std.error,p.value
(1),2023 SPEI-6 threshold -1.5,post:share_1956_1978,-5.380977938597043,2.670692095361613,0.044783274834644816
(1),2023 SPEI-6 threshold -2,post:share_1956_1978,-4.46881393735508,2.5679599063309113,0.08280963206283806
(1),2023 continuous SPEI-6,post:share_1956_1978,-4.286742906892423,2.5684549925002473,0.09612433773959762
(1),Baseline,post:share_1956_1978,-4.284774019719794,2.2382043119239317,0.05648901851420671
(1),2023 SPEI-6 threshold -1.5,share_1936_1955:post,-2.2077530621606765,0.8482869012733639,0.00969507510709221
(1),2023 SPEI-6 threshold -2,share_1936_1955:post,-2.290097380211988,0.8310128590247894,0.0062004308150726065
(1),2023 continuous SPEI-6,share_1936_1955:post,-2.301947802266579,0.8345847743888621,0.006156097732920391
(1),Baseline,share_1936_1955:post,-2.1121672520060812,0.8426522071164346,0.012700923366931294
(2),2023 SPEI-6 threshold -1.5,post:share_1956_1978,-3.529035152551204,2.776399552089565,0.20464888686523658
(2),2023 SPEI-6 threshold -2,post:share_1956_1978,-2.607104225937306,2.70118806143492,0.33520984268233933
(2),2023 continuous SPEI-6,post:share_1956_1978,-2.5750415441067602,2.7314030934992917,0.3465384389384345
(2),Baseline,post:share_1956_1978,-2.4977744558094397,2.2848880799158646,0.27516454775769195
(2),2023 SPEI-6 threshold -1.5,share_1936_1955:post,-2.0170645284827917,0.6033472031615085,9.29617222520527e-4
(2),2023 SPEI-6 threshold -2,share_1936_1955:post,-1.9935268536757593,0.5830395293110796,7.118133447777445e-4
(2),2023 continuous SPEI-6,share_1936_1955:post,-2.0074129687954034,0.5915068124963194,7.787811432717191e-4
(2),Baseline,share_1936_1955:post,-1.8810842555794274,0.5491686089390452,6.965079077177572e-4
(3),2023 SPEI-6 threshold -1.5,post:share_1956_1978,-5.677031104381756,2.7989773515635328,0.04338653839667341
(3),2023 SPEI-6 threshold -2,post:share_1956_1978,-4.861405849712849,2.718861990846852,0.07474466269306551
(3),2023 continuous SPEI-6,post:share_1956_1978,-4.712551115654696,2.7207588972718146,0.0842521916745332
(3),Baseline,post:share_1956_1978,-4.718151236714995,2.4478036968192765,0.0548273894068106
(3),2023 SPEI-6 threshold -1.5,share_1936_1955:post,-2.344607153962516,0.9136094961047696,0.010746624997723405
(3),2023 SPEI-6 threshold -2,share_1936_1955:post,-2.4210415241792393,0.8984448096156807,0.007428012148992215
(3),2023 continuous SPEI-6,share_1936_1955:post,-2.440897031796227,0.9009257493460779,0.00711581038022971
(3),Baseline,share_1936_1955:post,-2.265939236177614,0.9136809259069589,0.013666950061930937
(4),2023 SPEI-6 threshold -1.5,post:share_1956_1978,2.8738764481428594,1.3400058727920396,0.032753439183902854
(4),2023 SPEI-6 threshold -2,post:share_1956_1978,2.9628719733249578,1.3538805109363117,0.029381899221714317
(4),2023 continuous SPEI-6,post:share_1956_1978,2.9769081226827496,1.3495793596092451,0.028128748111160822
(4),Baseline,post:share_1956_1978,2.9770630826665574,1.365002689958266,0.029932723702712594
(4),2023 SPEI-6 threshold -1.5,share_1936_1955:post,-0.476806796357184,0.35917509055868946,0.1853152429456647
(4),2023 SPEI-6 threshold -2,share_1936_1955:post,-0.4815292107769201,0.363111301563416,0.1857729995749507
(4),2023 continuous SPEI-6,share_1936_1955:post,-0.48274577509155264,0.3599945189703071,0.18090521271427681
(4),Baseline,share_1936_1955:post,-0.46780922036951983,0.361228736414309,0.19626358838253802
(5),2023 SPEI-6 threshold -1.5,post:share_1956_1978,2.5606367215802206,1.3187237516615984,0.05306976321205522
(5),2023 SPEI-6 threshold -2,post:share_1956_1978,2.531450737751217,1.3177129602716053,0.055633752175735254
(5),2023 continuous SPEI-6,post:share_1956_1978,2.5252815068196925,1.3206663237834448,0.0567785188783192
(5),Baseline,post:share_1956_1978,2.524767725457931,1.3204211580924878,0.05678290615091068
(5),2023 SPEI-6 threshold -1.5,share_1936_1955:post,-0.4759394801802007,0.366814687842096,0.19542321535221516
(5),2023 SPEI-6 threshold -2,share_1936_1955:post,-0.4737958142496639,0.36445500917080975,0.19455958000794196
(5),2023 continuous SPEI-6,share_1936_1955:post,-0.47982909196693846,0.3654400496182953,0.1901451207346629
(5),Baseline,share_1936_1955:post,-0.48066910470374635,0.36548034043306515,0.1894213215151046
(6),2023 SPEI-6 threshold -1.5,post:share_1956_1978,3.4022978651155436,1.2671263117532114,0.0076408650567596215
(6),2023 SPEI-6 threshold -2,post:share_1956_1978,3.5021523566969703,1.278591860740487,0.0065167591984661224
(6),2023 continuous SPEI-6,post:share_1956_1978,3.5229055508613154,1.2784595501399807,0.006204210503675533
(6),Baseline,post:share_1956_1978,3.523428078746105,1.3001977115536731,0.007103333027834399
(6),2023 SPEI-6 threshold -1.5,share_1936_1955:post,-0.3166762169967427,0.3385968013601818,0.3503796867424319
(6),2023 SPEI-6 threshold -2,share_1936_1955:post,-0.3257556087535499,0.3427923002454441,0.3426976142674648
(6),2023 continuous SPEI-6,share_1936_1955:post,-0.3239874407106482,0.33950591048862716,0.3406774908077732
(6),Baseline,share_1936_1955:post,-0.30614270364358853,0.3409912070180073,0.36998544257529375
