model,version,term,estimate,std.error,p.value
(1),Baseline,post:share_1956_1978,-4.284774019719794,2.2382043119239317,0.05648901851420671
(1),Continuous SPEI-12,post:share_1956_1978,-4.212138182868898,2.2047007922904442,0.056984936778135493
(1),SPEI-12 threshold -1.5,post:share_1956_1978,-4.273385551598292,2.242296037162363,0.057596958653078505
(1),SPEI-12 threshold -2,post:share_1956_1978,-4.512010521243816,2.3184095179775963,0.05253517871428557
(1),Baseline,share_1936_1955:post,-2.1121672520060812,0.8426522071164346,0.012700923366931294
(1),Continuous SPEI-12,share_1936_1955:post,-2.041548020162879,0.8487482707162759,0.016740112566865334
(1),SPEI-12 threshold -1.5,share_1936_1955:post,-2.109613608017717,0.8434092738577663,0.012887907825076114
(1),SPEI-12 threshold -2,share_1936_1955:post,-2.1784410297070513,0.8212059581472648,0.008394075051398874
(2),Baseline,post:share_1956_1978,-2.4977744558094397,2.2848880799158646,0.27516454775769195
(2),Continuous SPEI-12,post:share_1956_1978,-2.368125741096872,2.192778338028233,0.28099418752102684
(2),SPEI-12 threshold -1.5,post:share_1956_1978,-2.5283775694320667,2.319017383816374,0.27643397797064334
(2),SPEI-12 threshold -2,post:share_1956_1978,-2.563750258950929,2.357269560729545,0.27761690241162734
(2),Baseline,share_1936_1955:post,-1.8810842555794274,0.5491686089390452,6.965079077177572e-4
(2),Continuous SPEI-12,share_1936_1955:post,-1.7844684633032897,0.5415152235449308,0.0010966795915710631
(2),SPEI-12 threshold -1.5,share_1936_1955:post,-1.9015958384636944,0.5506195142334666,6.299610701755715e-4
(2),SPEI-12 threshold -2,share_1936_1955:post,-1.9511331875659126,0.5431129416188596,3.8058024528904753e-4
(3),Baseline,post:share_1956_1978,-4.718151236714995,2.4478036968192765,0.0548273894068106
(3),Continuous SPEI-12,post:share_1956_1978,-4.717902034786489,2.448625001311123,0.054921018262455636
(3),SPEI-12 threshold -1.5,post:share_1956_1978,-4.853523102276062,2.4925747038536183,0.052411492486458294
(3),SPEI-12 threshold -2,post:share_1956_1978,-5.012966722872054,2.524848751402273,0.047972169854725834
(3),Baseline,share_1936_1955:post,-2.265939236177614,0.9136809259069589,0.013666950061930937
(3),Continuous SPEI-12,share_1936_1955:post,-2.2656953167989173,0.9159506421748076,0.01390971892390998
(3),SPEI-12 threshold -1.5,share_1936_1955:post,-2.275089718540832,0.9095387639307626,0.012885285630264993
(3),SPEI-12 threshold -2,share_1936_1955:post,-2.300810036716633,0.8892858909624166,0.010127958745939154
(4),Baseline,post:share_1956_1978,2.9770630826665574,1.365002689958266,0.029932723702712594
(4),Continuous SPEI-12,post:share_1956_1978,2.9963512849874734,1.3706926163144115,0.029559981748404716
(4),SPEI-12 threshold -1.5,post:share_1956_1978,3.1261302007883747,1.428660131455417,0.02940205412910034
(4),SPEI-12 threshold -2,post:share_1956_1978,2.9579367970884114,1.3694913191290985,0.031545846786991884
(4),Baseline,share_1936_1955:post,-0.46780922036951983,0.361228736414309,0.19626358838253802
(4),Continuous SPEI-12,share_1936_1955:post,-0.44905652072987057,0.3626677224985705,0.216574388126515
(4),SPEI-12 threshold -1.5,share_1936_1955:post,-0.43438379861890164,0.36994766524153055,0.24122272915360107
(4),SPEI-12 threshold -2,share_1936_1955:post,-0.47338742277164225,0.363770069930497,0.19410636653474428
(5),Baseline,post:share_1956_1978,2.524767725457931,1.3204211580924878,0.05678290615091068
(5),Continuous SPEI-12,post:share_1956_1978,2.5676982074993693,1.3161400198401187,0.051963043891196145
(5),SPEI-12 threshold -1.5,post:share_1956_1978,2.664526792620464,1.3567717127789147,0.05043536119204153
(5),SPEI-12 threshold -2,post:share_1956_1978,2.51608078350038,1.3344521566384824,0.060297212771739626
(5),Baseline,share_1936_1955:post,-0.48066910470374635,0.36548034043306515,0.1894213215151046
(5),Continuous SPEI-12,share_1936_1955:post,-0.44867678958958845,0.3700703760919673,0.2262759262554684
(5),SPEI-12 threshold -1.5,share_1936_1955:post,-0.38699629332638663,0.3717728274406478,0.2987080879458902
(5),SPEI-12 threshold -2,share_1936_1955:post,-0.4898923498539405,0.37068473567428933,0.18727687309832072
(6),Baseline,post:share_1956_1978,3.523428078746105,1.3001977115536731,0.007103333027834399
(6),Continuous SPEI-12,post:share_1956_1978,3.517359699628403,1.2987369853005806,0.007137380896254364
(6),SPEI-12 threshold -1.5,post:share_1956_1978,3.581157006474041,1.3248688297262927,0.007248735919723621
(6),SPEI-12 threshold -2,post:share_1956_1978,3.486995936384095,1.3028822916682132,0.007836943560263
(6),Baseline,share_1936_1955:post,-0.30614270364358853,0.3409912070180073,0.36998544257529375
(6),Continuous SPEI-12,share_1936_1955:post,-0.3158393951734881,0.34234561161717164,0.35694406068703344
(6),SPEI-12 threshold -1.5,share_1936_1955:post,-0.30117557380564813,0.344697691944523,0.38293495584523396
(6),SPEI-12 threshold -2,share_1936_1955:post,-0.31092756907474006,0.34358963142144716,0.3661983296240465
