variable_label,municipios_con_lapop,municipios_con_algun_missing,minimo,mediana,maximo
Migration intention,59,42,0,1.1111111111111112,5.555555555555555
Left-right ideology,59,59,4.444444444444445,16.483516483516482,31.11111111111111
Blank/null vote,59,59,9.574468085106384,21.73913043478261,35.55555555555556
